issue_id,user,createtime,durationtime,assignee,commentsnumber,
2,user1,1423779397,2328305,None,3,
3,user1,1423975340,1012209,None,3,
4,user1,1424019915,2087830,None,2,
5,user1,1424019988,82098,None,1,
6,user1,1424035745,2072034,None,0,
7,user1,1424035829,3018518,None,3,
8,user2,1424100702,2007166,None,1,
9,user2,1424102059,5370,None,1,
10,user2,1424104507,1555,None,2,
11,user3,1424106054,795809,None,1,
12,user2,1424107315,794524,None,1,
13,user1,1424109447,878029,None,1,
14,user1,1424109925,1997961,None,2,
15,user1,1424110067,1997849,None,1,
16,user3,1424110107,190791,None,1,
17,user1,1424110743,1997189,None,1,
18,user2,1424111949,1995992,user2,2,
19,user1,1424112021,1995942,None,1,
20,user3,1424112426,874651,None,1,
21,user2,1424146832,520847,user2,1,
22,user1,1424203690,438020,user2,3,
23,user2,1424297794,2937,user2,1,
24,user2,1424301155,410599,None,5,
25,user2,1424383209,244774,user2,2,
26,user1,1424473810,167932,None,1,
27,user2,1424641844,69812,None,0,
28,user2,1424641984,65762,None,2,
29,user2,1424711973,274090,user2,3,
30,user1,1424897983,1313615,None,2,
31,user1,1424904573,1307063,None,3,
32,user1,1424924115,46371,None,1,
33,user1,1424925791,1285860,None,2,
34,user1,1424987389,1224321,None,2,
35,user1,1425248248,1806161,None,2,
36,user1,1425345174,1709259,None,2,
37,user2,1425399032,1655536,None,3,
38,user1,1425417428,794363,None,2,
39,user1,1425757602,454158,None,4,
40,user1,1425962491,1092175,None,1,
41,user1,1426211865,1037100,None,12,
42,user1,1426217995,836874,None,1,
43,user1,1426218781,835102,None,1,
44,user2,1426283683,965432,None,3,
45,user1,1426393450,661319,None,1,
47,user1,1427131511,117642,None,2,
48,user1,1427255172,237020,None,1,
49,user1,1427255354,236807,None,1,
50,user1,1427308924,21101,None,1,
51,user1,1427311328,266086,None,1,
52,user1,1427311368,266015,None,1,
54,user1,1427763094,394622,user2,4,
55,user1,1427763408,440278,user1,0,
56,user1,1427834397,104484,user2,1,
57,user1,1427834482,371162,user1,1,
61,user1,1427937597,268173,user1,0,
62,user1,1428158030,171637,None,2,
63,user1,1428158809,178076,None,0,
64,user1,1428170682,166252,None,2,
65,user2,1428200078,5722,None,1,
66,user1,1428250364,122784,None,1,
67,user1,1428264547,103773,user2,2,
68,user1,1428343282,95909,None,5,
69,user2,1428344167,95869,None,1,
